min_api,max_api,vendor,product,other_vendor,other_product,event_device,event_type,event_code,event_value,mapped_type,mapped_code,mapped_value,comment
,,057e,2006,057e,2007,0,axis,15,-1,axis,1,-1,"Joy-Con (L)/Joy-Con (R), Left Stick UP"
,,,,,,,,15,1,,1,1,Left Stick DOWN
,,,,,,,,16,1,,0,-1,Left Stick LEFT
,,,,,,,,16,-1,,0,1,Left Stick RIGHT
,,,,,,,button,98,,,16,-1,D-Pad UP
,,,,,,,,97,,,16,1,D-Pad DOWN
,,,,,,,,96,,,15,-1,D-Pad LEFT
,,,,,,,,99,,,15,1,D-Pad RIGHT
,,,,,,1,axis,15,1,,14,-1,Right Stick UP
,,,,,,,,15,-1,,14,1,Right Stick DOWN
,,,,,,,,16,-1,,11,-1,Right Stick LEFT
,,,,,,,,16,1,,11,1,Right Stick RIGHT
,,,,,,,button,98,,button,96,,Cross/A/Bottom button
,,,,,,,,96,,,97,,Circle/B/Right button
,,,,,,,,99,,,99,,Square/X/Left button
,,,,,,,,97,,,100,,Triangle/Y/Top button
,,,,,,,,105,,,108,,Start button
,,,,,,0,,104,,,109,,Select button
,,,,,,,,107,,,102,,L1 button
,,,,,,1,,107,,,103,,R1 button
,,,,,,0,,0,,,104,,L2 button
,,,,,,1,,0,,,105,,R2 button
,,,,,,0,,109,,,106,,Left stick press
,,,,,,1,,108,,,107,,Right stick press
