min_api,max_api,vendor,product,other_vendor,other_product,event_device,event_type,event_code,event_value,mapped_type,mapped_code,mapped_value,comment
,,057e,2007,,,0,axis,16,-1,axis,16,-1,"Joy-Con (R), D-Pad UP"
,,,,,,,,16,1,,16,1,D-Pad DOWN
,,,,,,,,15,-1,,15,-1,D-Pad LEFT
,,,,,,,,15,1,,15,1,D-Pad RIGHT
,,,,,,,button,96,,button,96,,Cross/A/Bottom button
,,,,,,,,97,,,97,,Circle/B/Right button
,,,,,,,,98,,,99,,Square/X/Left button
,,,,,,,,99,,,100,,Triangle/Y/Top button
,,,,,,,,105,,,108,,Start button
,,,,,,,,110,,,109,,Select button
,,,,,,,,100,,,102,,L1 button
,,,,,,,,101,,,103,,R1 button
,,,,,,,,107,,,104,,L2 button
,,,,,,,,0,,,105,,R2 button
